task,shift_type,holdout,repeat,policy,epsilon,retained_mae,mae_ci_low,mae_ci_high,violation_ci_low,violation_ci_high,n_retained,n_groups_retained
log_kvrh,element,Mg,6,rf_distance_hybrid,0.15,0.13484184386614945,0.1275038483721753,0.1435220930622034,-0.0224961516278247,-0.006477906937796596,718,651
log_kvrh,element,Mg,6,rf_ensemble_std,0.15,0.13484184386614945,0.12604824704605688,0.14240922215607044,-0.023951752953943112,-0.007590777843929558,718,651
log_kvrh,element,Mg,7,descriptor_distance,0.15,0.14285907156154867,0.1344332986588382,0.15025293375995502,-0.015566701341161782,0.0002529337599550263,718,651
log_kvrh,element,Mg,7,quantile_width,0.15,0.14609481108647965,0.1373457258380961,0.15511823258026305,-0.0126542741619039,0.00511823258026306,718,651
log_kvrh,element,Mg,7,rf_distance_hybrid,0.15,0.14285907156154867,0.13334209733368863,0.1521082541398529,-0.01665790266631137,0.002108254139852911,718,651
log_kvrh,element,Mg,7,rf_ensemble_std,0.15,0.14285907156154867,0.13506208412351955,0.15214933538692643,-0.01493791587648044,0.0021493353869264376,718,651
log_kvrh,element,Mg,8,descriptor_distance,0.15,0.13373572963271274,0.12762392121015645,0.14218352558404265,-0.022376078789843545,-0.007816474415957342,718,651
log_kvrh,element,Mg,8,quantile_width,0.15,0.14781096227667756,0.13902253516432056,0.15678984583948388,-0.010977464835679435,0.006789845839483888,718,651
log_kvrh,element,Mg,8,rf_distance_hybrid,0.15,0.13373572963271274,0.1269169373750164,0.14116795921644718,-0.023083062624983608,-0.00883204078355282,718,651
log_kvrh,element,Mg,8,rf_ensemble_std,0.15,0.13373572963271274,0.12586121720335233,0.1412297957986421,-0.024138782796647662,-0.008770204201357906,718,651
log_kvrh,element,Mg,9,descriptor_distance,0.15,0.13544312897015634,0.1284238790928092,0.14365587831495558,-0.0215761209071908,-0.006344121685044418,718,651
log_kvrh,element,Mg,9,quantile_width,0.15,0.14835790444108188,0.14058954759458786,0.1571845322267633,-0.009410452405412134,0.007184532226763296,718,651
log_kvrh,element,Mg,9,rf_distance_hybrid,0.15,0.13544312897015634,0.12586468802348993,0.1429682162676499,-0.02413531197651006,-0.007031783732350083,718,651
log_kvrh,element,Mg,9,rf_ensemble_std,0.15,0.13544312897015634,0.12725663404262796,0.14381656032190637,-0.02274336595737203,-0.006183439678093622,718,651
log_kvrh,element,O,0,descriptor_distance,0.15,0.24337853707931978,0.23573228241191096,0.2527018768825564,0.08573228241191097,0.10270187688255641,2152,1713
log_kvrh,element,O,0,quantile_width,0.15,0.2694200192534057,0.26175567441437186,0.2779838396146316,0.11175567441437187,0.12798383961463158,2152,1713
log_kvrh,element,O,0,rf_distance_hybrid,0.15,0.2432549623964971,0.23309773419553553,0.25273147442637167,0.08309773419553554,0.10273147442637168,2150,1711
log_kvrh,element,O,0,rf_ensemble_std,0.15,0.24337853707931978,0.23389495363352727,0.2521083969571789,0.08389495363352728,0.10210839695717891,2152,1713
log_kvrh,element,O,1,descriptor_distance,0.15,0.2473116492900789,0.23857873064085147,0.25684274500218923,0.08857873064085148,0.10684274500218924,2152,1713
log_kvrh,element,O,1,quantile_width,0.15,0.26860568183356237,0.25917266101107256,0.27594670230576884,0.10917266101107256,0.12594670230576885,2152,1713
log_kvrh,element,O,1,rf_distance_hybrid,0.15,0.24734053454990895,0.23842155490182929,0.25778441998754587,0.08842155490182929,0.10778441998754587,2151,1712
log_kvrh,element,O,1,rf_ensemble_std,0.15,0.2473116492900789,0.23733842816161138,0.25719429880227496,0.08733842816161139,0.10719429880227496,2152,1713
log_kvrh,element,O,2,descriptor_distance,0.15,0.2463466251070996,0.2365231774899341,0.2563251442540535,0.0865231774899341,0.10632514425405351,2152,1713
log_kvrh,element,O,2,quantile_width,0.15,0.2653219774106027,0.25565288920127577,0.2742342784650981,0.10565288920127577,0.12423427846509813,2152,1713
