task,shift_type,holdout,repeat,policy,epsilon,n_train,n_calibration,n_ood,policy_constructed,calibration_coverage,calibration_ucb95,ood_coverage,ood_retained_mae,risk_violation,ood_spearman,shift_median_distance,threshold
expt_gap,element,Se,0,rf_ensemble_std,0.5,3143,785,676,True,0.9796178343949045,0.48350769453926135,0.9985207100591716,0.9856518323285272,0.48565183232852716,-0.008385813782821772,3.206006197797725,1.0264245013041824
expt_gap,element,Se,0,quantile_width,0.5,3143,785,676,True,0.7197452229299363,0.46712477876106184,0.9171597633136095,1.3486451612903225,0.8486451612903225,0.48016470663215405,3.206006197797725,2.6624175853438197
expt_gap,element,Se,0,descriptor_distance,0.5,3143,785,676,False,0.0,,0.0,,,0.030004807756865582,3.206006197797725,
expt_gap,element,Se,0,rf_distance_hybrid,0.5,3143,785,676,True,0.9796178343949045,0.4851834270960549,1.0,0.9880429681389165,0.48804296813891646,0.02462174557180348,3.206006197797725,0.8904458598726115
expt_gap,element,Se,1,rf_ensemble_std,0.5,3143,785,676,True,0.9592356687898089,0.475861529464114,0.9600591715976331,0.999090389393213,0.49909038939321304,0.040735480818117537,3.1585195979716696,0.7787884814300375
expt_gap,element,Se,1,quantile_width,0.5,3143,785,676,True,0.759235668789809,0.47697818791946306,0.9230769230769231,1.348397435897436,0.848397435897436,0.4604999577927952,3.1585195979716696,2.8256525269178647
expt_gap,element,Se,1,descriptor_distance,0.5,3143,785,676,True,0.21910828025477708,0.4712885068808694,0.07248520710059171,0.7265355244041506,0.2265355244041506,0.031014598726536228,3.1585195979716696,1.978145575769696
expt_gap,element,Se,1,rf_distance_hybrid,0.5,3143,785,676,True,0.9592356687898089,0.49723427511053014,0.9940828402366864,1.001703058314229,0.501703058314229,0.07602068322999535,3.1585195979716696,0.8184713375796178
expt_gap,element,Se,2,rf_ensemble_std,0.5,3143,785,676,True,0.9796178343949045,0.4715786078744456,0.9970414201183432,0.9669278800658347,0.46692788006583474,0.056614784810004176,3.171635031039445,0.9702723939223233
expt_gap,element,Se,2,quantile_width,0.5,3143,785,676,True,0.8,0.49167754777070055,0.9334319526627219,1.3664342313787639,0.8664342313787639,0.5051265873215969,3.171635031039445,3.0542098250833516
expt_gap,element,Se,2,descriptor_distance,0.5,3143,785,676,True,0.21910828025477708,0.4609381312894376,0.06360946745562131,0.719736439139833,0.21973643913983298,-0.0059316272713613,3.171635031039445,1.8695056300546211
expt_gap,element,Se,2,rf_distance_hybrid,0.5,3143,785,676,True,0.9796178343949045,0.45979200253713776,1.0,0.9693591996806544,0.4693591996806544,0.06156343565279534,3.171635031039445,0.8528662420382165
expt_gap,element,S,0,rf_ensemble_std,0.5,3160,792,652,True,0.9797979797979798,0.4676626905858486,1.0,1.3554535814388173,0.8554535814388173,-0.0027717134590687165,3.428063473845577,0.9278464064249318
expt_gap,element,S,0,quantile_width,0.5,3160,792,652,True,0.8194444444444444,0.4968597842835131,0.9800613496932515,1.7424413145539908,1.2424413145539908,0.2812798115329853,3.428063473845577,2.8058068448281714
expt_gap,element,S,0,descriptor_distance,0.5,3160,792,652,True,0.9797979797979798,0.48661893336144774,1.0,1.3554535814388173,0.8554535814388173,0.03814177858692926,3.428063473845577,7.960829659651156
expt_gap,element,S,0,rf_distance_hybrid,0.5,3160,792,652,True,0.9797979797979798,0.48298589002065334,0.9984662576687117,1.354240507758603,0.854240507758603,0.021331626449508832,3.428063473845577,0.8579545454545454
expt_gap,element,S,1,rf_ensemble_std,0.5,3162,790,652,True,0.979746835443038,0.48744724746117074,1.0,1.392015372032133,0.8920153720321331,0.042280193361979156,3.407574602101854,0.9153279559793351
expt_gap,element,S,1,quantile_width,0.5,3162,790,652,True,0.779746835443038,0.4808011363636363,0.9723926380368099,1.7458832807570979,1.2458832807570979,0.3231554776236042,3.407574602101854,2.4755911832672868
expt_gap,element,S,1,descriptor_distance,0.5,3162,790,652,False,0.0,,0.0,,,0.050161732161217824,3.407574602101854,
expt_gap,element,S,1,rf_distance_hybrid,0.5,3162,790,652,True,0.979746835443038,0.49448894177975017,0.9984662576687117,1.3909563413970423,0.8909563413970423,0.07093445686843404,3.407574602101854,0.8708860759493671
expt_gap,element,S,2,rf_ensemble_std,0.5,3162,790,652,True,0.979746835443038,0.46308366851981303,0.9923312883435583,1.3507381315375153,0.8507381315375153,0.016186784626458294,3.3673176552317736,0.9070795318507086
expt_gap,element,S,2,quantile_width,0.5,3162,790,652,True,0.779746835443038,0.4626875,0.9662576687116564,1.7437460317460316,1.2437460317460316,0.3342203756630803,3.3673176552317736,2.5389310006859227
